bedrijfsnaam;website;plaats;diensten;seo_bevindingen;geschat_aantal_medewerkers;overige_bedrijfsgegevens;laatst_gecheckt
Dakbedekker Amsterdam;dakbedekkeramsterdam.nl;Amsterdam;dakbedekking, platte daken, dakherstel, dakisolatie, gootwerk;title: Dakbedekker Amsterdam - Vakmanschap sinds 1985;meta beschrijving aanwezig;H1/H2 structuur goed;sitemap.xml aanwezig
Zinkwerk specialist;zinkwerk-specialist.nl;zinkwerk, goten, dakranden, gevelbekleding;title: Zinkwerk Specialist Amsterdam;meta beschrijving aanwezig;H1 structuur matig;sitemap.xml aanwezig;geen schema.org
Amsterdam Dakwerken;amsterdamdakwerken.nl;Amsterdam;dakrenovatie, nieuw dak, dakisolatie, gootverversing;title: Amsterdam Dakwerken - Uw Dakspecialist;meta beschrijving aanwezig;H1/H2 structuur goed;robots.txt aanwezig
Dak & Zink Service;dakenzinkservice.nl;Diemen;dakbedekking, zinkwerk, leien dak, dakherstel;dakisolatie, gootwerk, gevelbekleding;title: Dak & Zink Service - Alles voor uw dak;meta beschrijving aanwezig;H1/H2 structuur goed
Holland Dakbedekking;hollanddakbedekking.nl;Amsterdam;dakbedekking, EPDM, PVC, TPO, dakherstel;dakisolatie, groene daken, zonnepanelen montage;title: Holland Dakbedekking - Professioneel Dakwerk;meta beschrijving aanwezig;H1/H2 structuur goed
Dakrenovatie Amsterdam;dakrenovatieamsterdam.nl;Amsterdam;dakrenovatie, dakherstel, dakisolatie, gootwerk;title: Dakrenovatie Amsterdam - Uw Dak in Goede Handen;meta beschrijving aanwezig;H1 structuur matig;sitemap.xml aanwezig
Zinkgoot service;zinkgootservice.nl;Amstelveen;zinkgoten, dakranden, gevelbekleding, dakherstel;title: Zinkgoot Service - Specialist in Zinkwerk;meta beschrijving aanwezig;H1/H2 structuur goed;robots.txt aanwezig
Dakwerken Noord-Holland;dakwerkennh.nl;Haarlem;dakbedekking, dakherstel, dakisolatie, dakrenovatie;gootwerk, dakherstel;title: Dakwerken Noord-Holland - Uw Dakspecialist;meta beschrijving aanwezig;H1/H2 structuur goed
Dak & Gootwerk;dakengootwerk.nl;Diemen;dakbedekking, gootverversing, dakherstel, dakrenovatie;title: Dak & Gootwerk - Alles voor uw dak en gevel;meta beschrijving aanwezig;H1 structuur matig;sitemap.xml aanwezig
Amsterdam Dakservice;amsterdamdakservice.nl;Amsterdam;dakrenovatie, dakherstel, dakisolatie, gootverversing;title: Amsterdam Dakservice - Snel en Betrouwbaar;meta beschrijving aanwezig;H1/H2 structuur goed;robots.txt aanwezig
